,Benchmark,Instance #,Cluster #,mo-time
31,C1_FDA_HT_B_rsem_umap.csv,231,3,117.08121490478516
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,159.88569903373718
31,C1_FDA_HT_B_rsem_umap.csv,231,4,127.64908266067503
31,C1_FDA_HT_B_rsem_umap.csv,231,4,156.7289900779724
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,117.16334772109984
31,C1_FDA_HT_B_rsem_umap.csv,231,3,112.76548457145692
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,114.47782969474792
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,125.93449902534483
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,122.29725551605225
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,159.19038939476013
31,C1_FDA_HT_B_rsem_umap.csv,231,4,159.3343858718872
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,125.85716605186462
31,C1_FDA_HT_B_rsem_umap.csv,231,3,132.27191829681396
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,126.67312836647034
31,C1_FDA_HT_B_rsem_umap.csv,231,4,124.18915510177612
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,127.62936925888062
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,135.1486566066742
31,C1_FDA_HT_B_rsem_umap.csv,231,3,124.986839056015
31,C1_FDA_HT_B_rsem_umap.csv,231,4,127.61223649978638
31,C1_FDA_HT_B_rsem_umap.csv,231,3,112.43872952461244
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,126.56639361381532
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,141.41916012763977
31,C1_FDA_HT_B_rsem_umap.csv,231,4,140.11806392669678
31,C1_FDA_HT_B_rsem_umap.csv,231,4,125.20058059692384
31,C1_FDA_HT_B_rsem_umap.csv,231,4,137.77223825454712
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,140.4721667766571
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,124.22696781158449
31,C1_FDA_HT_B_rsem_umap.csv,231,4,159.44808721542358
31,C1_FDA_HT_B_rsem_umap.csv,231,4,128.5807580947876
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,126.1715693473816
31,C1_FDA_HT_B_rsem_umap.csv,231,3,130.58787536621094
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,158.21545720100403
31,C1_FDA_HT_B_rsem_umap.csv,231,4,123.7604751586914
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,129.12742853164673
31,C1_FDA_HT_B_rsem_umap.csv,231,4,127.00694942474364
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,114.93024444580078
31,C1_FDA_HT_B_rsem_umap.csv,231,3,116.24078512191772
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,125.00549554824828
31,C1_FDA_HT_B_rsem_umap.csv,231,4,122.86369132995604
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,122.00485444068909
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,126.23225426673888
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,124.95421314239502
31,C1_FDA_HT_B_rsem_umap.csv,231,4,136.41396474838257
31,C1_FDA_HT_B_rsem_umap.csv,231,4,125.10736846923828
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,124.15521621704102
31,C1_FDA_HT_B_rsem_umap.csv,231,4,141.18234872817993
